rooms,area_m2,floor_current,floor_total,price,city,district,building_type
2,50,8,16,700,Bakı,İnşaatçılar m.,Teze tikili
2,65,4,9,550,Bakı,Azadlıq Prospekti m.,Kohne tikili
2,44,2,5,750,Bakı,Nəsimi r.,Kohne tikili
3,85,2,5,900,Bakı,28 May m.,Kohne tikili
2,50,4,5,700,Bakı,Nizami m.,Kohne tikili
3,75,3,9,650,Bakı,Xalqlar Dostluğu m.,Kohne tikili
2,80,1,5,999,Bakı,28 May m.,Kohne tikili
2,75,13,16,280,Bakı,Yeni Yasamal q.,Teze tikili
2,60,12,20,600,Bakı,20 Yanvar m.,Teze tikili
3,70,8,18,800,Bakı,Memar Əcəmi m.,Teze tikili
2,65,3,8,600,Bakı,Qara Qarayev m.,Kohne tikili
2,50,12,16,600,Bakı,Əhmədli m.,Teze tikili
3,130,2,16,230,Bakı,İnşaatçılar m.,Teze tikili
2,77,8,16,700,Bakı,İnşaatçılar m.,Teze tikili
2,50,7,16,650,Bakı,20 Yanvar m.,Teze tikili
2,49,3,5,430,Bakı,Memar Əcəmi m.,Kohne tikili
2,61,11,11,350,Bakı,Yeni Günəşli q.,Kohne tikili
3,65,3,4,850,Bakı,Nərimanov r.,Kohne tikili
2,70,6,18,800,Bakı,Nizami m.,Teze tikili
2,56,5,5,320,Bakı,Masazır q.,Kohne tikili
2,55,3,12,525,Bakı,Yeni Günəşli q.,Teze tikili
2,75,7,8,750,Bakı,Bakmil m.,Kohne tikili
2,80,7,17,700,Bakı,Qara Qarayev m.,Teze tikili
3,80,2,3,550,Bakı,Binəqədi q.,Kohne tikili
2,100,13,17,900,Bakı,Qara Qarayev m.,Teze tikili
2,35,3,3,320,Bakı,Əhmədli m.,Kohne tikili
2,80,6,12,500,Bakı,Masazır q.,Teze tikili
3,85,10,12,400,Sumqayıt,Sumqayıt,Teze tikili
3,80,3,9,650,Bakı,Xalqlar Dostluğu m.,Kohne tikili
2,70,2,5,900,Bakı,Nardaran q.,Kohne tikili
2,67,6,9,549,Bakı,Həzi Aslanov m.,Kohne tikili
2,65,14,18,699,Bakı,Həzi Aslanov m.,Teze tikili
2,95,5,16,649,Bakı,Nizami r.,Teze tikili
2,70,15,18,650,Bakı,Xətai r.,Teze tikili
2,72,5,10,800,Bakı,7-ci mikrorayon q.,Kohne tikili
3,75,15,18,175,Bakı,9-cu mikrorayon q.,Teze tikili
2,60,6,9,550,Bakı,Həzi Aslanov m.,Kohne tikili
2,40,1,2,600,Bakı,Sahil m.,Kohne tikili
2,85,5,16,670,Bakı,8-ci kilometr q.,Teze tikili
2,49,5,5,550,Gəncə,Gəncə,Kohne tikili
2,62,3,6,320,Xırdalan,Xırdalan,Kohne tikili
2,46,3,5,450,Bakı,Gənclik m.,Kohne tikili
1,40,4,5,400,Bakı,Nəriman Nərimanov m.,Kohne tikili
2,50,13,19,699,Bakı,Nərimanov r.,Teze tikili
3,130,3,9,840,Bakı,Memar Əcəmi m.,Kohne tikili
2,40,8,16,650,Bakı,Yeni Yasamal q.,Teze tikili
3,110,11,18,800,Bakı,Həzi Aslanov m.,Teze tikili
4,75,3,5,900,Bakı,Nəsimi r.,Kohne tikili
4,105,5,20,600,Bakı,Yeni Yasamal q.,Teze tikili
3,112,7,10,800,Bakı,Yeni Yasamal q.,Kohne tikili
3,65,8,12,550,Bakı,İnşaatçılar m.,Teze tikili
3,102,3,3,850,Bakı,Nəsimi r.,Kohne tikili
2,58,3,9,500,Bakı,Abşeron r.,Kohne tikili
2,50,4,5,450,Bakı,Nəsimi m.,Kohne tikili
4,170,4,20,200,Bakı,Nəsimi r.,Teze tikili
3,85,1,5,700,Bakı,28 May m.,Kohne tikili
3,70,7,9,200,Bakı,Qara Qarayev m.,Kohne tikili
3,124,8,12,950,Bakı,Bakmil m.,Teze tikili
2,40,5,5,501,Bakı,Memar Əcəmi m.,Kohne tikili
3,100,9,18,750,Bakı,Neftçilər m.,Teze tikili
2,47,2,5,450,Bakı,Nəsimi m.,Kohne tikili
2,65,5,5,800,Bakı,28 May m.,Kohne tikili
3,70,3,9,650,Bakı,Xalqlar Dostluğu m.,Kohne tikili
2,80,5,10,800,Bakı,7-ci mikrorayon q.,Kohne tikili
3,80,3,7,850,Bakı,Nərimanov r.,Kohne tikili
2,60,2,20,550,Bakı,Həzi Aslanov m.,Teze tikili
2,40,2,5,450,Bakı,Nəsimi m.,Kohne tikili
2,50,5,20,750,Bakı,20 Yanvar m.,Teze tikili
2,90,13,16,900,Bakı,Şah İsmayıl Xətai m.,Teze tikili
2,85,14,16,900,Bakı,Nəsimi r.,Teze tikili
1,75,4,4,900,Bakı,Sea Breeze q.,Kohne tikili
