rooms,area_m2,floor_current,floor_total,price,city,district,building_type
2,46,8,11,350,Bakı,Masazır q.,Kohne tikili
1,45,6,12,650,Bakı,28 May m.,Teze tikili
2,74,9,18,600,Bakı,İnşaatçılar m.,Teze tikili
3,92,3,19,650,Bakı,Bakıxanov q.,Teze tikili
2,75,7,8,750,Bakı,Nəriman Nərimanov m.,Kohne tikili
1,30,2,5,550,Bakı,İçəri Şəhər m.,Kohne tikili
2,55,2,5,500,Bakı,Memar Əcəmi m.,Kohne tikili
2,55,3,16,800,Bakı,İnşaatçılar m.,Teze tikili
3,80,5,5,850,Bakı,Nizami m.,Kohne tikili
3,109,10,16,500,Bakı,Məmmədli q.,Teze tikili
2,45,2,2,499,Bakı,28 May m.,Kohne tikili
3,65,2,5,600,Bakı,Neftçilər m.,Kohne tikili
2,60,7,9,800,Bakı,28 May m.,Kohne tikili
2,50,7,16,200,Bakı,Xalqlar Dostluğu m.,Teze tikili
2,80,7,14,750,Bakı,Memar Əcəmi m.,Teze tikili
3,100,3,5,950,Bakı,Nəriman Nərimanov m.,Kohne tikili
2,59,4,21,800,Bakı,İnşaatçılar m.,Teze tikili
2,70,5,17,850,Bakı,İnşaatçılar m.,Teze tikili
2,76,11,14,360,Bakı,Saray q.,Teze tikili
1,40,2,5,550,Bakı,Elmlər Akademiyası m.,Kohne tikili
2,74,7,16,849,Bakı,Elmlər Akademiyası m.,Teze tikili
1,32,7,18,750,Bakı,Nizami m.,Teze tikili
2,60,8,18,700,Bakı,Nəsimi r.,Teze tikili
4,120,2,4,900,Bakı,Badamdar q.,Kohne tikili
2,50,7,18,800,Bakı,Nəsimi r.,Teze tikili
2,50,2,5,200,Bakı,Elmlər Akademiyası m.,Kohne tikili
2,80,10,18,750,Bakı,Azadlıq Prospekti m.,Teze tikili
2,60,2,9,350,Bakı,Əhmədli m.,Kohne tikili
2,87,4,5,950,Bakı,Sabunçu r.,Kohne tikili
2,52,5,5,499,Bakı,Badamdar q.,Kohne tikili
2,60,9,9,500,Bakı,İnşaatçılar m.,Kohne tikili
2,65,7,9,650,Bakı,Azadlıq Prospekti m.,Kohne tikili
3,120,4,19,700,Bakı,Yasamal r.,Teze tikili
2,65,2,5,500,Bakı,28 May m.,Kohne tikili
2,50,9,9,500,Bakı,İnşaatçılar m.,Kohne tikili
3,114,14,21,800,Bakı,Həzi Aslanov m.,Teze tikili
3,110,8,8,600,Sumqayıt,Sumqayıt,Kohne tikili
2,72,6,12,750,Bakı,Qara Qarayev m.,Teze tikili
1,30,7,18,750,Bakı,Nizami m.,Teze tikili
2,60,2,9,550,Bakı,Azadlıq Prospekti m.,Kohne tikili
2,50,3,16,800,Bakı,Yasamal r.,Teze tikili
3,86,4,16,600,Bakı,Həzi Aslanov m.,Teze tikili
2,106,8,20,799,Bakı,Nəriman Nərimanov m.,Teze tikili
3,140,6,14,970,Bakı,Nərimanov r.,Teze tikili
3,80,1,5,650,Bakı,Nəriman Nərimanov m.,Kohne tikili
3,66,15,17,600,Bakı,Xalqlar Dostluğu m.,Teze tikili
3,108,16,17,850,Bakı,Həzi Aslanov m.,Teze tikili
2,97,9,15,999,Bakı,Nəriman Nərimanov m.,Teze tikili
3,80,4,5,950,Bakı,Elmlər Akademiyası m.,Kohne tikili
2,90,14,16,900,Bakı,Nəriman Nərimanov m.,Teze tikili
1,65,4,19,550,Bakı,İnşaatçılar m.,Teze tikili
3,86,4,16,600,Bakı,Xətai r.,Teze tikili
2,55,1,3,500,Bakı,Səbail r.,Kohne tikili
2,52,3,16,800,Bakı,Yasamal q.,Teze tikili
2,50,15,20,800,Bakı,20 Yanvar m.,Teze tikili
2,60,5,16,899,Bakı,Nəriman Nərimanov m.,Teze tikili
2,80,9,15,999,Bakı,Nəriman Nərimanov m.,Teze tikili
2,56,16,22,799,Bakı,20 Yanvar m.,Teze tikili
2,101,5,14,850,Bakı,Elmlər Akademiyası m.,Teze tikili
3,115,4,7,800,Sumqayıt,Sumqayıt,Kohne tikili
2,60,5,5,500,Bakı,Nəriman Nərimanov m.,Kohne tikili
3,70,14,16,700,Bakı,Qara Qarayev m.,Teze tikili
3,60,2,5,600,Bakı,Neftçilər m.,Kohne tikili
2,100,16,21,800,Bakı,Nəriman Nərimanov m.,Teze tikili
3,90,3,9,650,Bakı,Nəsimi r.,Kohne tikili
3,70,4,12,700,Bakı,Badamdar q.,Teze tikili
3,72,9,9,800,Bakı,İnşaatçılar m.,Kohne tikili
2,105,7,17,650,Bakı,Memar Əcəmi m.,Teze tikili
3,120,14,18,800,Bakı,8-ci mikrorayon q.,Teze tikili
2,50,3,16,800,Bakı,Yasamal r.,Teze tikili
3,85,6,14,800,Bakı,Nəsimi m.,Teze tikili
2,76,18,18,750,Bakı,Nərimanov r.,Teze tikili
3,85,13,18,699,Bakı,İnşaatçılar m.,Teze tikili
2,64,4,17,750,Bakı,Nəriman Nərimanov m.,Teze tikili
2,78,2,16,600,Bakı,İnşaatçılar m.,Teze tikili
3,80,4,4,900,Bakı,Sahil m.,Kohne tikili
3,75,6,9,370,Bakı,Hövsan q.,Kohne tikili
3,125,10,14,950,Bakı,20 Yanvar m.,Teze tikili
2,60,4,4,750,Bakı,Elmlər Akademiyası m.,Kohne tikili
3,90,2,9,899,Bakı,Nəriman Nərimanov m.,Kohne tikili
2,60,2,5,700,Bakı,Sahil m.,Kohne tikili
2,65,10,16,850,Bakı,Dərnəgül m.,Teze tikili
2,75,6,18,750,Bakı,Həzi Aslanov m.,Teze tikili
2,55,2,9,549,Bakı,Azadlıq Prospekti m.,Kohne tikili
2,60,20,23,700,Bakı,Bakıxanov q.,Teze tikili
2,55,18,20,800,Bakı,Nəsimi r.,Teze tikili
2,50,3,5,550,Bakı,Memar Əcəmi m.,Kohne tikili
2,80,15,20,750,Bakı,Nəriman Nərimanov m.,Teze tikili
2,74,4,18,750,Bakı,Həzi Aslanov m.,Teze tikili
2,55,2,5,500,Bakı,20 Yanvar m.,Kohne tikili
2,70,3,3,380,Bakı,Xalqlar Dostluğu m.,Kohne tikili
2,75,10,17,750,Bakı,Elmlər Akademiyası m.,Teze tikili
3,130,6,14,970,Bakı,Nərimanov r.,Teze tikili
3,100,4,5,800,Bakı,Nəriman Nərimanov m.,Kohne tikili
3,110,4,14,950,Bakı,Gənclik m.,Teze tikili
2,60,20,22,700,Bakı,Bakıxanov q.,Teze tikili
2,40,5,5,600,Bakı,Nəriman Nərimanov m.,Kohne tikili
3,85,8,18,800,Bakı,Nizami r.,Teze tikili
2,40,10,18,548,Bakı,Yeni Yasamal q.,Teze tikili
2,70,4,18,800,Bakı,Həzi Aslanov q.,Teze tikili
2,50,2,5,550,Bakı,Nəsimi r.,Kohne tikili
3,80,2,9,900,Bakı,Nəriman Nərimanov m.,Kohne tikili
3,150,3,9,799,Bakı,Memar Əcəmi m.,Kohne tikili
3,90,3,4,800,Bakı,Şah İsmayıl Xətai m.,Kohne tikili
2,70,5,5,490,Bakı,Azadlıq Prospekti m.,Kohne tikili
1,35,5,5,400,Bakı,8-ci mikrorayon q.,Kohne tikili
3,127,10,13,800,Bakı,Xalqlar Dostluğu m.,Teze tikili
2,82,9,18,750,Bakı,Nəriman Nərimanov m.,Teze tikili
2,65,18,20,700,Bakı,20 Yanvar m.,Teze tikili
2,95,9,16,950,Bakı,Şah İsmayıl Xətai m.,Teze tikili
2,60,15,17,730,Bakı,Nizami m.,Teze tikili
2,86,14,16,900,Bakı,Nəriman Nərimanov m.,Teze tikili
2,50,2,4,600,Bakı,Qara Qarayev m.,Kohne tikili
2,50,2,9,550,Bakı,Azadlıq Prospekti m.,Kohne tikili
3,115,9,18,599,Bakı,Yeni Yasamal q.,Teze tikili
2,60,4,5,600,Bakı,İnşaatçılar m.,Kohne tikili
2,53,10,15,550,Bakı,Yasamal r.,Teze tikili
3,140,5,12,900,Bakı,Nərimanov r.,Teze tikili
2,60,12,19,646,Bakı,Həzi Aslanov q.,Teze tikili
2,60,6,12,750,Bakı,İnşaatçılar m.,Teze tikili
2,62,8,12,550,Bakı,Nəsimi m.,Teze tikili
3,80,4,5,600,Bakı,8 Noyabr m.,Kohne tikili
2,45,4,4,450,Bakı,Elmlər Akademiyası m.,Kohne tikili
2,80,5,18,800,Bakı,Nəsimi m.,Teze tikili
2,60,5,16,950,Bakı,Nərimanov r.,Teze tikili
2,88,14,17,899,Bakı,Nəriman Nərimanov m.,Teze tikili
3,90,2,12,549,Bakı,Hövsan q.,Teze tikili
2,90,10,17,750,Bakı,Nəsimi r.,Teze tikili
4,150,10,16,800,Bakı,Bayıl q.,Teze tikili
1,35,1,5,400,Bakı,Elmlər Akademiyası m.,Kohne tikili
2,90,2,14,800,Bakı,20 Yanvar m.,Teze tikili
2,65,2,5,550,Bakı,İnşaatçılar m.,Kohne tikili
2,50,10,10,550,Bakı,Yasamal r.,Kohne tikili
2,75,18,20,800,Bakı,Nəsimi r.,Teze tikili
2,50,18,20,700,Bakı,20 Yanvar m.,Teze tikili
2,90,6,15,650,Bakı,Xalqlar Dostluğu m.,Teze tikili
2,70,5,5,600,Bakı,Elmlər Akademiyası m.,Kohne tikili
2,65,5,5,800,Bakı,28 May m.,Kohne tikili
2,60,6,16,400,Xırdalan,Xırdalan,Teze tikili
3,120,4,18,900,Bakı,İnşaatçılar m.,Teze tikili
2,65,5,5,800,Bakı,28 May m.,Kohne tikili
2,55,12,16,700,Bakı,Nəriman Nərimanov m.,Teze tikili
2,120,5,5,600,Bakı,Buzovna q.,Kohne tikili
2,80,4,5,799,Bakı,Sahil m.,Kohne tikili
2,50,17,20,850,Bakı,20 Yanvar m.,Teze tikili
2,55,2,18,650,Bakı,Dərnəgül m.,Teze tikili
2,111,8,10,850,Bakı,Koroğlu m.,Kohne tikili
2,85,8,9,549,Bakı,Yasamal r.,Kohne tikili
2,100,8,16,849,Bakı,Xətai r.,Teze tikili
2,57,2,2,650,Bakı,Koroğlu m.,Kohne tikili
2,38,1,12,370,Xırdalan,Xırdalan,Teze tikili
3,65,6,18,850,Bakı,20 Yanvar m.,Teze tikili
1,50,14,17,601,Bakı,Nəriman Nərimanov m.,Teze tikili
2,50,3,5,449,Bakı,Memar Əcəmi m.,Kohne tikili
4,100,4,5,650,Bakı,Həzi Aslanov m.,Kohne tikili
3,70,2,9,600,Bakı,Nəsimi m.,Kohne tikili
2,60,11,16,450,Xırdalan,Xırdalan,Teze tikili
2,103,17,17,600,Bakı,Əhmədli m.,Teze tikili
3,80,8,9,800,Bakı,İnşaatçılar m.,Kohne tikili
2,49,8,9,350,Bakı,Qaraçuxur q.,Kohne tikili
2,55,3,5,649,Bakı,Qara Qarayev m.,Kohne tikili
1,35,4,5,550,Bakı,Gənclik m.,Kohne tikili
2,51,3,5,450,Bakı,Memar Əcəmi m.,Kohne tikili
2,70,12,16,800,Bakı,20 Yanvar m.,Teze tikili
3,65,6,8,350,Bakı,Masazır q.,Kohne tikili
1,35,1,5,450,Bakı,Gənclik m.,Kohne tikili
2,75,12,19,600,Bakı,Həzi Aslanov m.,Teze tikili
2,55,3,9,500,Bakı,Həzi Aslanov m.,Kohne tikili
1,46,5,5,499,Bakı,Sabunçu r.,Kohne tikili
3,100,12,20,260,Bakı,Şah İsmayıl Xətai m.,Teze tikili
3,110,10,10,750,Bakı,Yeni Yasamal q.,Kohne tikili
3,73,3,5,600,Bakı,Bakıxanov q.,Kohne tikili
3,92,8,14,500,Sumqayıt,Sumqayıt,Teze tikili
2,72,12,14,380,Bakı,Saray q.,Teze tikili
2,98,18,19,700,Bakı,İnşaatçılar m.,Teze tikili
2,95,9,16,950,Bakı,Şah İsmayıl Xətai m.,Teze tikili
3,72,10,10,600,Bakı,Əhmədli q.,Kohne tikili
2,75,3,14,350,Sumqayıt,Sumqayıt,Teze tikili
2,48,7,15,800,Bakı,Nəriman Nərimanov m.,Teze tikili
2,98,9,15,900,Bakı,Nəriman Nərimanov m.,Teze tikili
2,50,3,16,800,Bakı,Yasamal q.,Teze tikili
1,40,2,5,500,Bakı,İnşaatçılar m.,Kohne tikili
2,76,6,17,650,Bakı,Həzi Aslanov m.,Teze tikili
2,60,5,18,650,Bakı,İnşaatçılar m.,Teze tikili
2,90,12,19,200,Bakı,Nəriman Nərimanov m.,Teze tikili
2,45,4,5,450,Bakı,Xətai r.,Kohne tikili
1,38,2,8,370,Bakı,Masazır q.,Kohne tikili
2,70,8,11,450,Bakı,Masazır q.,Kohne tikili
2,59,9,9,200,Bakı,Xətai r.,Kohne tikili
2,110,7,17,650,Bakı,İnşaatçılar m.,Teze tikili
3,60,5,17,500,Xırdalan,Xırdalan,Teze tikili
3,75,2,12,550,Bakı,Hövsan q.,Teze tikili
2,53,15,20,750,Bakı,20 Yanvar m.,Teze tikili
2,60,5,5,500,Bakı,Azadlıq Prospekti m.,Kohne tikili
2,50,3,16,800,Bakı,Yasamal q.,Teze tikili
2,50,1,5,600,Bakı,Memar Əcəmi m.,Kohne tikili
2,80,14,19,560,Bakı,20 Yanvar m.,Teze tikili
2,85,6,20,850,Bakı,Nəsimi r.,Teze tikili
2,52,3,9,400,Bakı,Xalqlar Dostluğu m.,Kohne tikili
2,75,6,12,800,Bakı,Neftçilər m.,Teze tikili
3,126,7,16,800,Bakı,Yeni Yasamal q.,Teze tikili
2,55,5,16,900,Bakı,Nəriman Nərimanov m.,Teze tikili
3,85,8,9,400,Sumqayıt,Sumqayıt,Kohne tikili
4,110,7,16,450,Sumqayıt,Sumqayıt,Teze tikili
2,73,14,16,500,Sumqayıt,Sumqayıt,Teze tikili
2,110,10,18,900,Bakı,Badamdar q.,Teze tikili
2,110,12,21,970,Bakı,Nəriman Nərimanov m.,Teze tikili
3,65,15,17,850,Bakı,Həzi Aslanov m.,Teze tikili
2,50,5,5,500,Bakı,Nəsimi m.,Kohne tikili
1,33,1,5,450,Bakı,Memar Əcəmi m.,Kohne tikili
2,75,5,14,450,Sumqayıt,Sumqayıt,Teze tikili
2,80,15,21,800,Bakı,Bakıxanov q.,Teze tikili
2,70,5,12,340,Sumqayıt,Sumqayıt,Teze tikili
2,50,4,9,650,Bakı,Nəriman Nərimanov m.,Kohne tikili
2,52,5,6,700,Bakı,Nəriman Nərimanov m.,Kohne tikili
2,68,3,5,800,Bakı,Gənclik m.,Kohne tikili
2,77,12,18,900,Bakı,Gənclik m.,Teze tikili
3,123,3,21,900,Bakı,Azadlıq Prospekti m.,Teze tikili
3,82,5,9,420,Bakı,Ramana q.,Kohne tikili
1,50,3,5,499,Bakı,Nəriman Nərimanov m.,Kohne tikili
2,60,2,2,250,Xudat,Xudat,Kohne tikili
3,100,5,5,999,Bakı,Nizami m.,Kohne tikili
3,140,12,17,850,Bakı,Nəriman Nərimanov m.,Teze tikili
3,80,5,9,750,Bakı,Memar Əcəmi m.,Kohne tikili
2,50,10,16,670,Bakı,20 Yanvar m.,Teze tikili
3,130,3,9,840,Bakı,Memar Əcəmi m.,Kohne tikili
3,90,2,17,600,Bakı,Həzi Aslanov m.,Teze tikili
2,70,5,12,700,Bakı,Qara Qarayev m.,Teze tikili
2,60,7,18,850,Bakı,Şah İsmayıl Xətai m.,Teze tikili
2,60,10,18,800,Bakı,Elmlər Akademiyası m.,Teze tikili
2,64,15,17,950,Bakı,Şah İsmayıl Xətai m.,Teze tikili
2,75,5,10,800,Bakı,Nəsimi r.,Kohne tikili
2,50,4,5,650,Bakı,Gənclik m.,Kohne tikili
1,33,7,16,750,Bakı,Nizami m.,Teze tikili
3,125,10,11,950,Bakı,Memar Əcəmi m.,Kohne tikili
2,95,15,20,700,Bakı,Həzi Aslanov m.,Teze tikili
2,55,4,5,900,Bakı,Elmlər Akademiyası m.,Kohne tikili
2,65,3,9,700,Bakı,Nəsimi r.,Kohne tikili
1,45,5,13,550,Bakı,Qara Qarayev m.,Teze tikili
2,65,11,17,550,Bakı,Həzi Aslanov m.,Teze tikili
2,60,3,3,380,Bakı,Əhmədli q.,Kohne tikili
2,87,9,20,950,Bakı,8 Noyabr m.,Teze tikili
1,40,2,5,600,Bakı,28 May m.,Kohne tikili
2,59,14,14,650,Bakı,Yasamal r.,Teze tikili
2,60,3,5,400,Bakı,Masazır q.,Kohne tikili
2,55,8,16,400,Sumqayıt,Sumqayıt,Teze tikili
2,60,12,17,525,Bakı,Həzi Aslanov m.,Teze tikili
3,130,14,19,800,Bakı,Nəriman Nərimanov m.,Teze tikili
3,90,5,12,900,Bakı,Nizami m.,Teze tikili
2,80,1,16,700,Bakı,İnşaatçılar m.,Teze tikili
2,90,10,17,999,Bakı,20 Yanvar m.,Teze tikili
2,60,4,9,450,Bakı,Həzi Aslanov m.,Kohne tikili
3,120,5,14,850,Bakı,Nəsimi r.,Teze tikili
2,45,4,5,350,Bakı,Masazır q.,Kohne tikili
2,70,4,18,900,Bakı,28 May m.,Teze tikili
2,70,15,21,800,Bakı,Bakıxanov q.,Teze tikili
3,100,8,11,950,Bakı,28 May m.,Kohne tikili
1,40,2,5,550,Bakı,Elmlər Akademiyası m.,Kohne tikili
2,117,4,18,950,Bakı,Nərimanov r.,Teze tikili
1,44,5,5,600,Bakı,8-ci mikrorayon q.,Kohne tikili
2,55,15,16,550,Bakı,Suraxanı r.,Teze tikili
3,80,13,17,750,Bakı,20 Yanvar m.,Teze tikili
2,50,2,5,550,Bakı,İnşaatçılar m.,Kohne tikili
3,65,1,9,499,Bakı,Suraxanı r.,Kohne tikili
3,130,3,9,840,Bakı,Memar Əcəmi m.,Kohne tikili
2,55,2,5,700,Bakı,8 Noyabr m.,Kohne tikili
3,70,6,12,500,Bakı,Zığ q.,Teze tikili
1,30,1,5,850,Bakı,Sahil m.,Kohne tikili
2,51,7,9,450,Bakı,Günəşli q.,Kohne tikili
3,60,2,5,600,Bakı,Neftçilər m.,Kohne tikili
2,70,10,12,525,Bakı,Xalqlar Dostluğu m.,Teze tikili
2,73,12,17,750,Bakı,28 May m.,Teze tikili
3,100,3,5,950,Bakı,Nəriman Nərimanov m.,Kohne tikili
2,48,9,12,470,Sumqayıt,Sumqayıt,Teze tikili
3,65,2,2,550,Bakı,Xətai r.,Kohne tikili
2,95,13,18,950,Bakı,Nəsimi r.,Teze tikili
2,85,3,16,900,Bakı,Şah İsmayıl Xətai m.,Teze tikili
2,56,6,12,750,Bakı,İnşaatçılar m.,Teze tikili
3,82,4,19,500,Bakı,Bakıxanov q.,Teze tikili
2,60,20,20,700,Bakı,20 Yanvar m.,Teze tikili
3,65,1,9,500,Bakı,Günəşli q.,Kohne tikili
3,85,13,13,600,Xırdalan,Xırdalan,Teze tikili
2,76,9,18,750,Bakı,Nəriman Nərimanov m.,Teze tikili
2,86,14,16,900,Bakı,Nəriman Nərimanov m.,Teze tikili
2,45,1,9,330,Bakı,Yeni Günəşli q.,Kohne tikili
2,48,8,13,600,Bakı,Həzi Aslanov m.,Teze tikili
2,50,12,18,500,Bakı,Yasamal r.,Teze tikili
2,60,20,23,699,Bakı,Bakıxanov q.,Teze tikili
1,60,20,23,700,Bakı,Bakıxanov q.,Teze tikili
2,80,14,17,800,Bakı,İnşaatçılar m.,Teze tikili
2,50,3,5,700,Bakı,Nərimanov r.,Kohne tikili
2,75,5,18,800,Bakı,Nəsimi m.,Teze tikili
2,50,2,2,260,Bakı,İçəri Şəhər m.,Kohne tikili
2,60,10,17,550,Bakı,Yasamal q.,Teze tikili
2,55,15,16,550,Bakı,Yeni Günəşli q.,Teze tikili
2,60,2,16,400,Xırdalan,Xırdalan,Teze tikili
2,90,13,17,900,Bakı,Nəsimi r.,Teze tikili
2,55,14,16,950,Bakı,8 Noyabr m.,Teze tikili
3,75,2,9,800,Bakı,Neftçilər m.,Kohne tikili
2,48,3,5,650,Bakı,Nərimanov r.,Kohne tikili
2,100,5,9,700,Sumqayıt,Sumqayıt,Kohne tikili
1,50,5,7,749,Bakı,8 Noyabr m.,Kohne tikili
3,100,5,6,800,Bakı,Nizami m.,Kohne tikili
3,80,13,20,750,Bakı,20 Yanvar m.,Teze tikili
2,65,10,18,750,Bakı,Elmlər Akademiyası m.,Teze tikili
3,130,3,9,840,Bakı,Memar Əcəmi m.,Kohne tikili
2,72,16,16,650,Bakı,Yeni Yasamal q.,Teze tikili
3,120,3,19,750,Bakı,Yasamal q.,Teze tikili
2,60,15,17,850,Bakı,20 Yanvar m.,Teze tikili
3,100,14,19,800,Bakı,Nəriman Nərimanov m.,Teze tikili
2,55,4,5,550,Bakı,Memar Əcəmi m.,Kohne tikili
3,130,3,19,750,Bakı,Yasamal r.,Teze tikili
2,85,11,17,899,Bakı,İnşaatçılar m.,Teze tikili
2,55,5,6,600,Bakı,28 May m.,Kohne tikili
4,110,2,5,700,Bakı,28 May m.,Kohne tikili
2,71,5,14,400,Bakı,Saray q.,Teze tikili
2,60,8,9,700,Bakı,Xalqlar Dostluğu m.,Kohne tikili
2,70,7,16,850,Bakı,Nizami m.,Teze tikili
2,70,11,17,600,Bakı,Həzi Aslanov m.,Teze tikili
2,45,7,16,650,Bakı,20 Yanvar m.,Teze tikili
2,50,2,5,550,Bakı,Neftçilər m.,Kohne tikili
2,80,3,5,200,Bakı,Elmlər Akademiyası m.,Kohne tikili
1,50,5,7,750,Bakı,Gənclik m.,Kohne tikili
2,74,4,19,700,Bakı,Həzi Aslanov q.,Teze tikili
3,70,4,12,700,Bakı,Badamdar q.,Teze tikili
1,40,1,6,350,Xırdalan,Xırdalan,Kohne tikili
3,80,4,12,650,Bakı,Badamdar q.,Teze tikili
2,86,14,16,900,Bakı,Nəriman Nərimanov m.,Teze tikili
3,127,10,13,850,Bakı,Neftçilər m.,Teze tikili
2,60,7,18,850,Bakı,Şah İsmayıl Xətai m.,Teze tikili
2,60,7,18,800,Bakı,Şah İsmayıl Xətai m.,Teze tikili
2,60,2,17,700,Bakı,Memar Əcəmi m.,Teze tikili
2,72,5,10,850,Bakı,Dərnəgül m.,Kohne tikili
2,60,15,17,800,Bakı,Şah İsmayıl Xətai m.,Teze tikili
3,90,4,9,500,Bakı,Əhmədli m.,Kohne tikili
2,40,3,5,548,Bakı,20 Yanvar m.,Kohne tikili
2,85,8,16,800,Bakı,Şah İsmayıl Xətai m.,Teze tikili
2,75,4,18,750,Bakı,Nəriman Nərimanov m.,Teze tikili
3,120,14,17,750,Bakı,Dərnəgül m.,Teze tikili
2,75,16,20,750,Bakı,Nərimanov r.,Teze tikili
2,75,8,8,850,Bakı,Nəriman Nərimanov m.,Kohne tikili
2,85,17,20,700,Bakı,Nəriman Nərimanov m.,Teze tikili
2,75,3,14,700,Bakı,Qara Qarayev m.,Teze tikili
3,110,2,16,600,Xırdalan,Xırdalan,Teze tikili
3,70,5,9,599,Bakı,Əhmədli m.,Kohne tikili
2,50,2,5,450,Xırdalan,Xırdalan,Kohne tikili
2,70,15,18,899,Bakı,8 Noyabr m.,Teze tikili
2,50,3,5,700,Bakı,Gənclik m.,Kohne tikili
2,55,3,5,750,Bakı,Şah İsmayıl Xətai m.,Kohne tikili
2,100,7,17,950,Bakı,Nəriman Nərimanov m.,Teze tikili
2,60,18,19,600,Bakı,20 Yanvar m.,Teze tikili
4,152,10,16,800,Bakı,Bayıl q.,Teze tikili
1,37,7,17,650,Bakı,28 May m.,Teze tikili
2,50,9,14,498,Bakı,Yeni Yasamal q.,Teze tikili
2,65,3,5,600,Bakı,Nəriman Nərimanov m.,Kohne tikili
2,50,3,5,500,Bakı,20 Yanvar m.,Kohne tikili
2,101,8,18,800,Bakı,Bakmil m.,Teze tikili
2,55,4,5,500,Bakı,Nəriman Nərimanov m.,Kohne tikili
2,60,5,16,999,Bakı,Nərimanov r.,Teze tikili
2,75,9,9,500,Bakı,Memar Əcəmi m.,Kohne tikili
2,105,9,17,850,Bakı,Nəsimi r.,Teze tikili
2,60,6,10,450,Xırdalan,Xırdalan,Kohne tikili
2,86,14,16,900,Bakı,Nəriman Nərimanov m.,Teze tikili
2,40,5,5,600,Bakı,İnşaatçılar m.,Kohne tikili
3,100,9,13,800,Bakı,Neftçilər m.,Teze tikili
3,140,11,17,850,Bakı,Nəriman Nərimanov m.,Teze tikili
2,57,1,6,360,Bakı,Masazır q.,Kohne tikili
3,110,5,9,800,Bakı,Azadlıq Prospekti m.,Kohne tikili
2,94,4,16,800,Bakı,Nərimanov r.,Teze tikili
2,58,4,5,699,Bakı,İçəri Şəhər m.,Kohne tikili
2,85,5,17,890,Bakı,İçəri Şəhər m.,Teze tikili
2,90,12,15,750,Bakı,Nərimanov r.,Teze tikili
1,35,2,2,350,Bakı,Nizami m.,Kohne tikili
1,52,5,7,700,Bakı,8 Noyabr m.,Kohne tikili
3,120,12,19,950,Bakı,Şah İsmayıl Xətai m.,Teze tikili
2,70,4,18,800,Bakı,28 May m.,Teze tikili
2,55,4,5,548,Bakı,Memar Əcəmi m.,Kohne tikili
2,75,7,8,750,Bakı,Nəriman Nərimanov m.,Kohne tikili
2,60,15,17,550,Bakı,Xətai r.,Teze tikili
2,50,3,5,700,Bakı,Şah İsmayıl Xətai m.,Kohne tikili
2,70,12,19,600,Bakı,Həzi Aslanov m.,Teze tikili
2,80,9,18,750,Bakı,Nəriman Nərimanov m.,Teze tikili
3,100,2,4,900,Bakı,28 May m.,Kohne tikili
2,50,9,9,498,Bakı,Yeni Yasamal q.,Kohne tikili
2,60,7,9,600,Bakı,Həzi Aslanov m.,Kohne tikili
3,125,8,12,650,Bakı,İnşaatçılar m.,Teze tikili
2,80,3,5,800,Bakı,Nəriman Nərimanov m.,Kohne tikili
3,118,14,17,800,Bakı,Azadlıq Prospekti m.,Teze tikili
2,75,14,20,650,Bakı,20 Yanvar m.,Teze tikili
2,85,2,5,750,Bakı,Nəriman Nərimanov m.,Kohne tikili
2,55,3,5,420,Bakı,Masazır q.,Kohne tikili
2,65,3,5,699,Bakı,Gənclik m.,Kohne tikili
3,60,3,5,550,Bakı,İnşaatçılar m.,Kohne tikili
1,50,1,5,450,Bakı,Binəqədi r.,Kohne tikili
2,45,4,9,600,Bakı,İnşaatçılar m.,Kohne tikili
2,75,8,8,850,Bakı,Nəriman Nərimanov m.,Kohne tikili
1,50,5,7,750,Bakı,Nəsimi r.,Kohne tikili
2,35,3,5,550,Bakı,20 Yanvar m.,Kohne tikili
3,75,5,9,450,Bakı,Əhmədli m.,Kohne tikili
2,55,4,5,550,Bakı,Memar Əcəmi m.,Kohne tikili
2,57,2,5,450,Bakı,Masazır q.,Kohne tikili
2,85,10,19,850,Bakı,Nəriman Nərimanov m.,Teze tikili
2,70,10,10,600,Bakı,Xalqlar Dostluğu m.,Kohne tikili
2,55,5,9,649,Bakı,Nəriman Nərimanov m.,Kohne tikili
3,75,8,9,850,Bakı,Nəsimi r.,Kohne tikili
2,60,3,9,450,Bakı,Həzi Aslanov q.,Kohne tikili
3,120,8,11,650,Bakı,İnşaatçılar m.,Kohne tikili
2,65,15,27,999,Bakı,8 Noyabr m.,Teze tikili
2,75,8,22,750,Bakı,Yasamal q.,Teze tikili
3,80,4,10,700,Bakı,İnşaatçılar m.,Kohne tikili
3,60,2,5,650,Bakı,Neftçilər m.,Kohne tikili
2,74,8,25,750,Bakı,Elmlər Akademiyası m.,Teze tikili
2,60,5,5,800,Bakı,28 May m.,Kohne tikili
2,70,16,19,900,Bakı,Azadlıq Prospekti m.,Teze tikili
2,80,4,5,799,Bakı,İçəri Şəhər m.,Kohne tikili
2,49,9,14,500,Bakı,Yasamal r.,Teze tikili
2,100,5,17,690,Bakı,Nizami r.,Teze tikili
3,70,16,18,750,Bakı,İnşaatçılar m.,Teze tikili
2,65,5,6,600,Bakı,Nərimanov r.,Kohne tikili
1,50,5,7,750,Bakı,8 Noyabr m.,Kohne tikili
3,75,4,5,650,Bakı,İnşaatçılar m.,Kohne tikili
2,60,2,6,900,Bakı,Sahil m.,Kohne tikili
