rooms,area_m2,floor_current,floor_total,price,district,floor_ratio,building_type_enc,is_baku,district_freq,district_target_enc
2,31,4,5,650,Nəriman Nərimanov m.,0.8,0,1,1211,946.3137902559868
2,70,17,17,600,İnşaatçılar m.,1.0,1,1,636,727.9591194968554
3,100,4,9,800,İnşaatçılar m.,0.4444444444444444,0,1,636,727.9591194968554
2,75,2,5,899,28 May m.,0.4,0,1,1066,1281.5741088180112
2,75,13,13,650,Yeni Yasamal q.,1.0,1,1,159,671.3647798742138
2,55,2,5,770,28 May m.,0.4,0,1,1066,1281.5741088180112
3,92,8,14,500,Sumqayıt,0.5714285714285714,1,0,142,499.78169014084506
2,90,13,16,900,İnşaatçılar m.,0.8125,1,1,636,727.9591194968554
1,36,1,4,400,Badamdar q.,0.25,0,1,77,881.1428571428571
2,80,5,5,900,Sahil m.,1.0,0,1,278,1223.8021582733813
2,85,10,18,700,Azadlıq Prospekti m.,0.5555555555555556,1,1,280,759.9142857142857
3,128,14,18,800,Dərnəgül m.,0.7777777777777778,1,1,158,777.7215189873418
2,55,3,5,560,Memar Əcəmi m.,0.6,0,1,410,626.4536585365854
2,50,15,20,700,20 Yanvar m.,0.75,1,1,620,771.0661290322581
2,85,12,18,700,İnşaatçılar m.,0.6666666666666666,1,1,636,727.9591194968554
2,57,4,5,350,Biləcəri q.,0.8,0,1,19,542.0
2,60,12,17,540,Həzi Aslanov m.,0.7058823529411765,1,1,409,667.4449877750611
3,100,3,5,950,Nəriman Nərimanov m.,0.6,0,1,1211,946.3137902559868
3,150,16,17,900,İnşaatçılar m.,0.9411764705882353,1,1,636,727.9591194968554
4,100,5,9,800,Azadlıq Prospekti m.,0.5555555555555556,0,1,280,759.9142857142857
2,65,8,9,600,Nəriman Nərimanov m.,0.8888888888888888,0,1,1211,946.3137902559868
2,75,10,16,800,Nizami m.,0.625,1,1,752,1187.590425531915
2,42,4,4,380,Masazır q.,1.0,0,1,95,389.6421052631579
3,85,17,18,600,Nəsimi m.,0.9444444444444444,1,1,132,687.25
2,70,2,5,900,Nəsimi r.,0.4,0,1,739,1119.722598105548
